"selamlama","Beni selamlamak mı istediniz?"
"veda","Veda mı ediyorsunuz?"
"onay","Onaylıyor musunuz?"
"reddet","Hayır mı diyorsunuz?"
"form_iptal","Randevu sistemimizden çıkmak mı istiyorsunuz?"
"randevu_alma","Randevu mu almak istiyorsunuz?"
"randevu_sorgula","Güncel randevularınızı mı sorgulamak istiyorsunuz?"
"semptom_açıkla","Semptomlarınızı mı belirtmek istediniz?"
"numara_ver","Numaranızı mı vermek istiyorsunuz?"
"chitchat/adres_sorgula","Adresimizi mi öğrenmek istiyorsunuz?"
"chitchat/telefon_sorgula","Numaramı mı öğrenmek istiyorsunuz?"
"chitchat/yas_sorma","Yaşımı mı öğrenmek istiyorsunuz"
"chitchat/hatır_sormak","Hatrımı mı sormak istiyorsunuz?"
"chitchat/saka_sor","Şaka mı istiyorsunuz?"
"chitchat/yardim","Yardım mı istiyorsunuz?"
"chitchat/oneri","Öneri mi istiyorsunuz?"
"hastalik_bilgisi_sor","Bir hastalık hakkında bilgi mi almak istemiştiniz?"
